team name,num,name,age,nationality,position,market value
Squad Real Sociedad,9,Carlos Fernández,27,Spain,Centre-Forward,€3.00m
Squad Atlético de Madrid,13,Jan Oblak,31,Slovenia,Goalkeeper,€30.00m
Squad Atlético de Madrid,1,Horaţiu Moldovan,26,Romania,Goalkeeper,€2.50m
Squad Atlético de Madrid,2,José María Giménez,29,Uruguay,Centre-Back,€25.00m
Squad Atlético de Madrid,22,Mario Hermoso,28,Spain,Centre-Back,€25.00m
Squad Atlético de Madrid,20,Axel Witsel,35,Belgium,Centre-Back,€4.00m
Squad Atlético de Madrid,15,Stefan Savic,33,Montenegro,Centre-Back,€3.00m
Squad Atlético de Madrid,4,Gabriel Paulista,33,Brazil,Centre-Back,€2.50m
Squad Atlético de Madrid,23,Reinildo Mandava,30,Mozambique,Left-Back,€12.00m
Squad Atlético de Madrid,16,Nahuel Molina,26,Argentina,Right-Back,€35.00m
Squad Atlético de Madrid,3,César Azpilicueta,34,Spain,Right-Back,€3.00m
Squad Atlético de Madrid,5,Rodrigo de Paul,29,Argentina,Central Midfield,€30.00m
Squad Atlético de Madrid,14,Marcos Llorente,29,Spain,Central Midfield,€30.00m
Squad Atlético de Madrid,18,Arthur Vermeeren,19,Belgium,Central Midfield,€30.00m
Squad Atlético de Madrid,24,Pablo Barrios,20,Spain,Central Midfield,€25.00m
Squad Atlético de Madrid,6,Koke,32,Spain,Central Midfield,€12.00m
Squad Atlético de Madrid,8,Saúl Ñíguez,29,Spain,Central Midfield,€7.50m
Squad Atlético de Madrid,11,Thomas Lemar,28,France,Attacking Midfield,€12.00m
Squad Atlético de Madrid,12,Samuel Lino,24,Brazil,Left Winger,€25.00m
Squad Atlético de Madrid,17,Rodrigo Riquelme,24,Spain,Left Winger,€25.00m
Squad Atlético de Madrid,-,Marcos Paulo,23,Portugal,Left Winger,€4.00m
Squad Atlético de Madrid,-,Vitolo,34,Spain,Left Winger,€300k
Squad Atlético de Madrid,10,Ángel Correa,29,Argentina,Right Winger,€18.00m
Squad Atlético de Madrid,7,Antoine Griezmann,33,France,Centre-Forward,€25.00m
Squad Atlético de Madrid,19,Álvaro Morata,31,Spain,Centre-Forward,€20.00m
Squad Atlético de Madrid,9,Memphis Depay,30,Netherlands,Centre-Forward,€12.00m
Squad Athletic Bilbao,1,Unai Simón,26,Spain,Goalkeeper,€25.00m
Squad Athletic Bilbao,13,Julen Agirrezabala,23,Spain,Goalkeeper,€5.00m
Squad Athletic Bilbao,3,Dani Vivian,24,Spain,Centre-Back,€25.00m
Squad Athletic Bilbao,4,Aitor Paredes,23,Spain,Centre-Back,€15.00m
Squad Athletic Bilbao,5,Yeray Álvarez,29,Spain,Centre-Back,€10.00m
Squad Athletic Bilbao,17,Yuri Berchiche,34,Spain,Left-Back,€2.00m
Squad Athletic Bilbao,19,Imanol García de Albéniz,23,Spain,Left-Back,€1.50m
Squad Athletic Bilbao,15,Iñigo Lekue,30,Spain,Right-Back,€3.00m
Squad Athletic Bilbao,18,Óscar de Marcos,35,Spain,Right-Back,€1.80m
Squad Athletic Bilbao,6,Mikel Vesga,31,Spain,Defensive Midfield,€5.00m
Squad Athletic Bilbao,24,Beñat Prados,23,Spain,Central Midfield,€8.00m
Squad Athletic Bilbao,16,Iñigo Ruiz de Galarreta,30,Spain,Central Midfield,€5.00m
Squad Athletic Bilbao,21,Ander Herrera,34,Spain,Central Midfield,€2.50m
Squad Athletic Bilbao,14,Dani García,33,Spain,Central Midfield,€2.00m
Squad Athletic Bilbao,31,Mikel Jauregizar,20,Spain,Central Midfield,€800k
Squad Athletic Bilbao,8,Oihan Sancet,23,Spain,Attacking Midfield,€35.00m
Squad Athletic Bilbao,10,Iker Muniain,31,Spain,Attacking Midfield,€6.00m
Squad Athletic Bilbao,30,Unai Gómez,20,Spain,Attacking Midfield,€1.50m
Squad Athletic Bilbao,11,Nico Williams,21,Spain,Left Winger,€50.00m
Squad Athletic Bilbao,7,Álex Berenguer,28,Spain,Left Winger,€12.00m
Squad Athletic Bilbao,23,Adu Ares,22,Spain,Left Winger,€1.00m
Squad Athletic Bilbao,9,Iñaki Williams,29,Ghana,Right Winger,€25.00m
Squad Athletic Bilbao,12,Gorka Guruzeta,27,Spain,Centre-Forward,€15.00m
Squad Athletic Bilbao,20,Asier Villalibre,26,Spain,Centre-Forward,€2.50m
Squad Athletic Bilbao,22,Raúl García,37,Spain,Centre-Forward,€2.00m
Squad Girona FC,13,Paulo Gazzaniga,32,Argentina,Goalkeeper,€4.00m
Squad Girona FC,1,Juan Carlos,36,Spain,Goalkeeper,€300k
Squad Girona FC,26,Toni Fuidias,23,Spain,Goalkeeper,€300k
Squad Girona FC,25,Eric García,23,Spain,Centre-Back,€15.00m
Squad Girona FC,5,David López,34,Spain,Centre-Back,€3.00m
Squad Girona FC,17,Daley Blind,34,Netherlands,Centre-Back,€3.00m
Squad Girona FC,15,Juanpe,32,Spain,Centre-Back,€1.20m
Squad Girona FC,3,Miguel Gutiérrez,22,Spain,Left-Back,€20.00m
Squad Girona FC,20,Yan Couto,21,Brazil,Right-Back,€15.00m
Squad Girona FC,4,Arnau Martínez,20,Spain,Right-Back,€10.00m
Squad Girona FC,14,Aleix García,26,Spain,Central Midfield,€25.00m
Squad Girona FC,21,Yangel Herrera,26,Venezuela,Central Midfield,€20.00m
Squad Girona FC,18,Pablo Torre,21,Spain,Central Midfield,€3.00m
Squad Girona FC,22,Jhon Solís,19,Colombia,Central Midfield,€3.00m
Squad Girona FC,23,Iván Martín,25,Spain,Attacking Midfield,€15.00m
Squad Girona FC,10,Borja García,33,Spain,Attacking Midfield,€1.00m
Squad Girona FC,16,Sávio,20,Brazil,Left Winger,€40.00m
Squad Girona FC,19,Toni Villa,29,Spain,Left Winger,€2.00m
Squad Girona FC,8,Viktor Tsygankov,26,Ukraine,Right Winger,€28.00m
Squad Girona FC,24,Portu,31,Spain,Right Winger,€3.50m
Squad Girona FC,11,Valery Fernández,24,Spain,Right Winger,€2.50m
Squad Girona FC,9,Artem Dovbyk,26,Ukraine,Centre-Forward,€30.00m
Squad Girona FC,7,Cristhian Stuani,37,Uruguay,Centre-Forward,€2.00m
Squad Valencia CF,25,Giorgi Mamardashvili,23,Georgia,Goalkeeper,€35.00m
Squad Valencia CF,1,Jaume Doménech,33,Spain,Goalkeeper,€900k
Squad Valencia CF,13,Cristian Rivero,26,Spain,Goalkeeper,€200k
Squad Valencia CF,3,Cristhian Mosquera,19,Spain,Centre-Back,€15.00m
Squad Valencia CF,34,Yarek Gasiorowski,19,Spain,Centre-Back,€10.00m
Squad Valencia CF,4,Mouctar Diakhaby,27,Guinea,Centre-Back,€4.00m
Squad Valencia CF,15,Cenk Özkacar,23,Türkiye,Centre-Back,€2.00m
Squad Valencia CF,14,José Gayà,28,Spain,Left-Back,€30.00m
Squad Valencia CF,21,Jesús Vázquez,21,Spain,Left-Back,€2.00m
Squad Valencia CF,12,Thierry Correia,25,Portugal,Right-Back,€6.00m
Squad Valencia CF,20,Dimitri Foulquier,31,Guadeloupe,Right-Back,€2.50m
Squad Valencia CF,18,Pepelu,25,Spain,Defensive Midfield,€16.00m
Squad Valencia CF,6,Hugo Guillamón,24,Spain,Defensive Midfield,€8.00m
Squad Valencia CF,8,Javi Guerra,20,Spain,Central Midfield,€20.00m
Squad Valencia CF,10,André Almeida,23,Portugal,Central Midfield,€15.00m
Squad Valencia CF,19,Selim Amallah,27,Morocco,Attacking Midfield,€2.00m
